Model,MAE,MSE,RMSE,R2
LinearRegression,58.98005062049605,17002.92464762395,130.39526313338206,0.3836880552299182
RandomForest,29.02126674807045,8002.159569100848,89.45479064365892,0.7099424582180776
DecisionTree,28.89641495634299,8073.757302245584,89.8540889567391,0.7073472259818558
XGBoost,43.175924804226014,10711.02726719284,103.4940929096576,0.611753025885962
